id,mark,model,year,mileage,body_type,color,engine_vol,fuel,gearbox,cleared,price
228,Volkswagen,Golf,1999,225000,Hatchback,Silver,19,Diesel,Mechanical,1.0,5350
229,Opel,Ascona,1988,44000,Sedan,Gray,1600,Gas / petrol,Mechanical,1.0,1800
230,Renault,Grand Scenic,2010,193,Minivan,Asphalt,1500,Diesel,Mechanical,1.0,7999
231,VAZ,2107,2004,60000,Sedan,Blue,1500,Gas / petrol,Mechanical,1.0,1500
232,ZAZ,1103 Slavuta,2000,0,Sedan,Green,1300,Gas / petrol,Mechanical,1.0,778
233,Daewoo,Lanos (Sens),2007,0,Sedan,Silver,1500,Gas / petrol,Mechanical,1.0,3600
234,Opel,Meriva,2006,110000,Minivan,Blue,1400,Petrol,Mechanical,1.0,4500
235,Daewoo,Lanos (Sens),1998,100,Sedan,Olive,1600,Gas / petrol,Mechanical,1.0,1000
236,Mercedes-Benz,Vito,2006,350,Minivan,Cherry,2200,Diesel,Automatic,1.0,8700
237,Peugeot,406,1996,0,Sedan,Green,2,Gas / petrol,Mechanical,0.0,769
238,Volkswagen,Tiguan,2015,117000,SUV / Crossover,Violet,2000,Petrol,Automatic,1.0,20400
239,Volkswagen,Passat Sedan,2013,86500,Sedan,White,1800,Petrol,Mechanical,1.0,14500
240,Volkswagen,Transporter,1991,0,Minivan,Red,19,Diesel,Mechanical,1.0,4000
241,Skoda,Octavia,2010,165000,Universal,White,1600,Diesel,Mechanical,1.0,8750
242,Opel,Vectra,2004,320000,Hatchback,Gray,200,Diesel,Automatic,0.0,1100
243,Mercedes-Benz,E серия,2007,253000,Universal,Blue,2200,Diesel,Automatic,1.0,11300
244,UAZ,31514,2003,1,SUV / Crossover,Green,25,Diesel,Mechanical,1.0,4000
245,Mercedes-Benz,ML серия,2006,290000,SUV / Crossover,Silver,3500,Gas / petrol,Automatic,1.0,16000
246,Chery,Tiggo,2018,0,Hatchback,White,1600,Petrol,Automatic,1.0,13769
247,Toyota,Camry,2018,2800,Sedan,Silver,25,Petrol,Variator,1.0,26000
248,Ford,Sierra,1986,0,Sedan,Asphalt,23,Diesel,Mechanical,1.0,1250
249,Mercedes-Benz,Vito,2007,250,Minivan,Gray,2200,Diesel,Mechanical,1.0,10500
250,Skoda,Octavia,2010,117,Universal,White,1600,Gas / petrol,Mechanical,1.0,11000
251,Nissan,Qashqai,2010,0,SUV / Crossover,Gray,1600,Petrol,Mechanical,1.0,10000
252,Mercedes-Benz,E серия,2003,244000,Sedan,Silver,3199,Petrol,Automatic,1.0,9200
253,Audi,A6 Allroad,2003,333000,SUV / Crossover,Gray,2500,Diesel,Automatic,0.0,3900
254,Audi,A4,2015,67000,Sedan,Black,2000,Petrol,Automatic,1.0,18900
255,VAZ,2101,1983,95000,Sedan,Blue,1300,Petrol,Mechanical,1.0,420
256,Volkswagen,Passat Sedan,2008,145,Sedan,Black,2,Petrol,Automatic,1.0,6100
257,Nissan,Qashqai,2008,133000,SUV / Crossover,Golden,2000,Petrol,Variator,1.0,10750
258,,Benni,2008,0,Hatchback,Green,1298,Gas / petrol,Mechanical,1.0,2950
259,Ford,Fusion (USA),2014,0,Sedan,Black,1496,Petrol,Automatic,1.0,5500
260,Other,,2014,0,Other,White,250,Other,Mechanical,1.0,926
261,Volkswagen,Passat Sedan,2014,69000,Sedan,Black,1800,Petrol,Automatic,1.0,13100
262,Opel,Zafira,2011,297,Minivan,White,1700,Diesel,Mechanical,1.0,7700
263,Moskvich/AZLK,2141,1992,0,Hatchback,Violet,1600,Gas / petrol,Mechanical,1.0,999
264,Renault,Laguna,2006,89000,Universal,Green,2000,Petrol,Mechanical,1.0,7900
265,Audi,A6,1998,366000,Sedan,Green,25,Diesel,Automatic,0.0,1200
266,Daewoo,Lanos (Sens),2008,108,Sedan,Gray,16,Gas / petrol,Mechanical,1.0,4400
267,Hyundai,H1 (Starex),2001,25000,Passenger van (up to 1.5 tons),White,2500,Diesel,Mechanical,1.0,4900
268,Renault,Trafic,2005,0,Minivan,Black,2500,Diesel,Mechanical,1.0,8000
269,Moskvich/AZLK,2140,1986,73617,Sedan,White,1500,Petrol,Mechanical,1.0,615
270,VAZ,21099,2008,124200,Sedan,Black,1600,Petrol,Mechanical,1.0,1900
271,BMW,3 серия,2005,0,Sedan,Asphalt,2500,Petrol,Adaptive,0.0,2999
272,Lexus,GX серія,2007,189000,SUV / Crossover,Silver,4700,Gas / petrol,Automatic,1.0,21700
273,VAZ,2109,1992,0,Hatchback,White,1500,Gas / petrol,Mechanical,1.0,846
274,Mercedes-Benz,gla,2015,38444,SUV / Crossover,Black,2000,Petrol,Automatic,1.0,22500
275,Skoda,Octavia,2000,300000,Universal,Violet,1900,Diesel,Mechanical,0.0,1200
276,VAZ,2101,1982,0,Sedan,Green,1200,Petrol,Mechanical,1.0,576
277,ZAZ,1102,1996,0,Hatchback,Gray,11,Petrol,Mechanical,1.0,1000
278,Mercedes-Benz,Viano,2012,215000,Minivan,Black,2,Diesel,Automatic,1.0,25500
279,Volkswagen,Transporter,1994,395000,Minivan,White,2400,Diesel,Mechanical,1.0,5100
280,BMW,3 серия,1986,250000,Sedan,Black,2400,Diesel,Mechanical,1.0,0
281,Audi,A4,2003,307,Universal,Gray,1900,Diesel,Mechanical,1.0,8000
282,Opel,Vectra,1997,0,Hatchback,Red,20,Diesel,Mechanical,0.0,1000
283,Lexus,LX серія,2016,100,SUV / Crossover,Black,4,Diesel,Automatic,1.0,76000
284,BMW,x7,1999,111111,Sedan,Red,350,Petrol,Mechanical,1.0,6000
